project,class,src,llm_directory
CoreNLP,edu.stanford.nlp.pipeline.MorphaAnnotator,src/edu/stanford/nlp/pipeline/MorphaAnnotator,CoreNLP/edu/stanford/nlp/pipeline/MorphaAnnotator
CoreNLP,edu.stanford.nlp.pipeline.NERCombinerAnnotator,src/edu/stanford/nlp/pipeline/NERCombinerAnnotator,CoreNLP/edu/stanford/nlp/pipeline/NERCombinerAnnotator
CoreNLP,edu.stanford.nlp.pipeline.TokensRegexNERAnnotator,src/edu/stanford/nlp/pipeline/TokensRegexNERAnnotator,CoreNLP/edu/stanford/nlp/pipeline/TokensRegexNERAnnotator
CoreNLP,edu.stanford.nlp.pipeline.QuoteAnnotator,src/edu/stanford/nlp/pipeline/QuoteAnnotator,CoreNLP/edu/stanford/nlp/pipeline/QuoteAnnotator
CoreNLP,edu.stanford.nlp.pipeline.QuoteAttributionAnnotator,src/edu/stanford/nlp/pipeline/QuoteAttributionAnnotator,CoreNLP/edu/stanford/nlp/pipeline/QuoteAttributionAnnotator
CoreNLP,edu.stanford.nlp.pipeline.StanfordCoreNLP,src/edu/stanford/nlp/pipeline/StanfordCoreNLP,CoreNLP/edu/stanford/nlp/pipeline/StanfordCoreNLP
CoreNLP,edu.stanford.nlp.pipeline.EntityMentionsAnnotator,src/edu/stanford/nlp/pipeline/EntityMentionsAnnotator,CoreNLP/edu/stanford/nlp/pipeline/EntityMentionsAnnotator
CoreNLP,edu.stanford.nlp.pipeline.TokenizerAnnotator,src/edu/stanford/nlp/pipeline/TokenizerAnnotator,CoreNLP/edu/stanford/nlp/pipeline/TokenizerAnnotator
CoreNLP,edu.stanford.nlp.pipeline.POSTaggerAnnotator,src/edu/stanford/nlp/pipeline/POSTaggerAnnotator,CoreNLP/edu/stanford/nlp/pipeline/POSTaggerAnnotator
CoreNLP,edu.stanford.nlp.pipeline.CoreDocument,src/edu/stanford/nlp/pipeline/CoreDocument,CoreNLP/edu/stanford/nlp/pipeline/CoreDocument
CoreNLP,edu.stanford.nlp.pipeline.CoreSentence,src/edu/stanford/nlp/pipeline/CoreSentence,CoreNLP/edu/stanford/nlp/pipeline/CoreSentence
CoreNLP,edu.stanford.nlp.pipeline.SentimentAnnotator,src/edu/stanford/nlp/pipeline/SentimentAnnotator,CoreNLP/edu/stanford/nlp/pipeline/SentimentAnnotator
CoreNLP,edu.stanford.nlp.pipeline.KBPAnnotator,src/edu/stanford/nlp/pipeline/KBPAnnotator,CoreNLP/edu/stanford/nlp/pipeline/KBPAnnotator
CoreNLP,edu.stanford.nlp.pipeline.CorefAnnotator,src/edu/stanford/nlp/pipeline/CorefAnnotator,CoreNLP/edu/stanford/nlp/pipeline/CorefAnnotator
CoreNLP,edu.stanford.nlp.pipeline.CorefMentionAnnotator,src/edu/stanford/nlp/pipeline/CorefMentionAnnotator,CoreNLP/edu/stanford/nlp/pipeline/CorefMentionAnnotator
CoreNLP,edu.stanford.nlp.pipeline.WikidictAnnotator,src/edu/stanford/nlp/pipeline/WikidictAnnotator,CoreNLP/edu/stanford/nlp/pipeline/WikidictAnnotator
CoreNLP,edu.stanford.nlp.pipeline.GenderAnnotator,src/edu/stanford/nlp/pipeline/GenderAnnotator,CoreNLP/edu/stanford/nlp/pipeline/GenderAnnotator
CoreNLP,edu.stanford.nlp.pipeline.ArabicSegmenterAnnotator,src/edu/stanford/nlp/pipeline/ArabicSegmenterAnnotator,CoreNLP/edu/stanford/nlp/pipeline/ArabicSegmenterAnnotator
CoreNLP,edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,src/edu/stanford/nlp/pipeline/ChineseSegmenterAnnotator,CoreNLP/edu/stanford/nlp/pipeline/ChineseSegmenterAnnotator
CoreNLP,edu.stanford.nlp.pipeline.LabeledChunkIdentifier,src/edu/stanford/nlp/pipeline/LabeledChunkIdentifier,CoreNLP/edu/stanford/nlp/pipeline/LabeledChunkIdentifier
CoreNLP,edu.stanford.nlp.pipeline.JSONOutputter,src/edu/stanford/nlp/pipeline/JSONOutputter,CoreNLP/edu/stanford/nlp/pipeline/JSONOutputter
CoreNLP,edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer,src/edu/stanford/nlp/pipeline/ProtobufAnnotationSerializer,CoreNLP/edu/stanford/nlp/pipeline/ProtobufAnnotationSerializer
CoreNLP,edu.stanford.nlp.process.Morphology,src/edu/stanford/nlp/process/Morphology,CoreNLP/edu/stanford/nlp/process/Morphology
CoreNLP,edu.stanford.nlp.process.Stemmer,src/edu/stanford/nlp/process/Stemmer,CoreNLP/edu/stanford/nlp/process/Stemmer
CoreNLP,edu.stanford.nlp.process.WordToSentenceProcessor,src/edu/stanford/nlp/process/WordToSentenceProcessor,CoreNLP/edu/stanford/nlp/process/WordToSentenceProcessor
CoreNLP,edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,src/edu/stanford/nlp/parser/lexparser/EnglishTreebankParserParams,CoreNLP/edu/stanford/nlp/parser/EnglishTreebankParserParams
CoreNLP,edu.stanford.nlp.parser.lexparser.ChineseTreebankParserParams,src/edu/stanford/nlp/parser/lexparser/ChineseTreebankParserParams,CoreNLP/edu/stanford/nlp/parser/ChineseTreebankParserParams
CoreNLP,edu.stanford.nlp.parser.lexparser.LexicalizedParser,src/edu/stanford/nlp/parser/lexparser/LexicalizedParser,CoreNLP/edu/stanford/nlp/parser/LexicalizedParser
CoreNLP,edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,src/edu/stanford/nlp/parser/lexparser/ExhaustivePCFGParser,CoreNLP/edu/stanford/nlp/parser/ExhaustivePCFGParser
CoreNLP,edu.stanford.nlp.parser.lexparser.SplittingGrammarExtractor,src/edu/stanford/nlp/parser/lexparser/SplittingGrammarExtractor,CoreNLP/edu/stanford/nlp/parser/SplittingGrammarExtractor
CoreNLP,edu.stanford.nlp.ling.CoreLabel,src/edu/stanford/nlp/ling/CoreLabel,CoreNLP/edu/stanford/nlp/ling/CoreLabel
CoreNLP,edu.stanford.nlp.coref.data.Mention,src/edu/stanford/nlp/coref/data/Mention,CoreNLP/edu/stanford/nlp/coref/Mention
CoreNLP,edu.stanford.nlp.dcoref.Mention,src/edu/stanford/nlp/dcoref/Mention,CoreNLP/edu/stanford/nlp/dcoref/Mention
CoreNLP,edu.stanford.nlp.ie.NERFeatureFactory,src/edu/stanford/nlp/ie/NERFeatureFactory,CoreNLP/edu/stanford/nlp/ie/NERFeatureFactory
CoreNLP,edu.stanford.nlp.sentiment.SentimentModel,src/edu/stanford/nlp/sentiment/SentimentModel,CoreNLP/edu/stanford/nlp/sentiment/SentimentModel
CoreNLP,edu.stanford.nlp.sentiment.SentimentPipeline,src/edu/stanford/nlp/sentiment/SentimentPipeline,CoreNLP/edu/stanford/nlp/sentiment/SentimentPipeline
GateCore,gate.corpora.SerialCorpusImpl,src/main/java/gate/corpora/SerialCorpusImpl,GateCore/corpora/SerialCorpusImpl
GateCore,gate.corpora.CorpusImpl,src/main/java/gate/corpora/CorpusImpl,GateCore/corpora/CorpusImpl
GateCore,gate.corpora.DocumentImpl,src/main/java/gate/corpora/DocumentImpl,GateCore/corpora/DocumentImpl
GateCore,gate.corpora.DocumentStaxUtils,src/main/java/gate/corpora/DocumentStaxUtils,GateCore/corpora/DocumentStaxUtils
GateCore,gate.annotation.AnnotationSetImpl,src/main/java/gate/annotation/AnnotationSetImpl,GateCore/annotation/AnnotationSetImpl
GateCore,gate.annotation.AnnotationImpl,src/main/java/gate/annotation/AnnotationImpl,GateCore/annotation/AnnotationImpl
GateCore,gate.creole.annic.lucene.QueryParser,src/main/java/gate/creole/annic/lucene/QueryParser,GateCore/creole/lucene/QueryParser
Mallet,cc.mallet.types.SparseVector,src/cc/mallet/types/SparseVector,Mallet/types/SparseVector
Mallet,cc.mallet.types.AugmentableFeatureVector,src/cc/mallet/types/AugmentableFeatureVector,Mallet/types/AugmentableFeatureVector
Mallet,cc.mallet.classify.NaiveBayes,src/cc/mallet/classify/AugmentableFeatureVector,Mallet/classify/AugmentableFeatureVector
Mallet,cc.mallet.classify.MaxEnt,src/cc/mallet/classify/MaxEnt,Mallet/classify/MaxEnt
Mallet,cc.mallet.classify.MaxEntOptimizableByLabelLikelihood,src/cc/mallet/classify/MaxEntOptimizableByLabelLikelihood,Mallet/classify/MaxEntOptimizableByLabelLikelihood
Mallet,cc.mallet.classify.MaxEntOptimizableByLabelDistribution,src/cc/mallet/classify/MaxEntOptimizableByLabelDistribution,Mallet/classify/MaxEntOptimizableByLabelDistribution
Mallet,cc.mallet.classify.NaiveBayesTrainer,src/cc/mallet/classify/NaiveBayesTrainer,Mallet/classify/NaiveBayesTrainer
Mallet,cc.mallet.cluster.KMeans,src/cc/mallet/cluster/KMeans,Mallet/cluster/KMeans
Mallet,cc.mallet.fst.HMM,src/cc/mallet/fst/HMM,Mallet/fst/HMM
Mallet,cc.mallet.fst.CRF,src/cc/mallet/fst/CRF,Mallet/fst/CRF
Mallet,cc.mallet.fst.SumLatticeBeam,src/cc/mallet/fst/SumLatticeBeam,Mallet/fst/SumLatticeBeam
Mallet,cc.mallet.topics.ParallelTopicModel,src/cc/mallet/topics/ParallelTopicModel,Mallet/topics/ParallelTopicModel
Mallet,cc.mallet.topics.LDAHyper,src/cc/mallet/topics/LDAHyper,Mallet/topics/LDAHyper
Mallet,cc.mallet.topics.TopicalNGrams,src/cc/mallet/topics/TopicalNGrams,Mallet/topics/TopicalNGrams
OpenNLP,opennlp.tools.postag.POSTaggerME
OpenNLP,opennlp.tools.postag.POSTaggerFactory
OpenNLP,opennlp.tools.ml.maxent.GISTrainer,src/main/opennlp/tools/ml/maxent/POSTaggerFactory,OpenNLP/ml/maxent/GISTrainer
OpenNLP,opennlp.tools.stemmer.PorterStemmer,src/main/opennlp/tools/stemmer/PorterStemmer,OpenNLP/stemmer/PorterStemmer
OpenNLP,opennlp.tools.stemmer.snowball.greekStemmer,src/main/opennlp/tools/stemmer/snowball/greekStemmer,OpenNLP/stemmer/snowball/greekStemmer
OpenNLP,opennlp.tools.stemmer.snowball.arabicStemmer,src/main/opennlp/tools/stemmer/snowball/arabicStemmer,OpenNLP/stemmer/snowball/arabicStemmer
OpenNLP,opennlp.tools.stemmer.snowball.SnowballProgram,src/main/opennlp/tools/stemmer/snowball/SnowballProgram,OpenNLP/stemmer/snowball/SnowballProgram
OpenNLP,opennlp.tools.stemmer.snowball.SnowballStemmer,src/main/opennlp/tools/stemmer/snowball/SnowballStemmer,OpenNLP/stemmer/snowball/SnowballStemmer
OpenNLP,opennlp.tools.parser.Parse,src/main/opennlp/tools/parser/Parse,OpenNLP/parser/Parse
OpenNLP,opennlp.tools.ngram.NGramModel,src/main/opennlp/tools/ngram/NGramModel,OpenNLP/ngram/NGramModel
CogCompNLP,edu.illinois.cs.cogcomp.comma.datastructures.Comma,commasrl/src/main/java/edu/illinois/cs/cogcomp/comma/datastructures/Comma,CogCompNLP/edu/illinois/cs/cogcomp/comma/datastructures/Comma
CogCompNLP,edu.illinois.cs.cogcomp.ner.ClassifiersAndUtils.MemoryEfficientNB,ner/src/main/java/edu/illinois/cs/cogcomp/ner/ClassifiersAndUtils/MemoryEfficientNB,CogCompNLP/edu/illinois/cs/cogcomp/ner/ClassifiersAndUtils/MemoryEfficientNB
CogCompNLP,edu.illinois.cs.cogcomp.ner.NERAnnotator,ner/src/main/java/edu/illinois/cs/cogcomp/ner/NERAnnotator,CogCompNLP/edu/illinois/cs/cogcomp/ner/NERAnnotator
CogCompNLP,edu.illinois.cs.cogcomp.pos.MikheevLearner,pos/src/main/java/edu/illinois/cs/cogcomp/pos/MikheevLearner,CogCompNLP/edu/illinois/cs/cogcomp/pos/MikheevLearner
CogCompNLP,edu.illinois.cs.cogcomp.pos.POSBaselineLearner,pos/src/main/java/edu/illinois/cs/cogcomp/pos/POSBaselineLearner,CogCompNLP/edu/illinois/cs/cogcomp/pos/POSBaselineLearner
CogCompNLP,edu.illinois.cs.cogcomp.nlp.tokenizer.TokenizerStateMachine,tokenizer/src/main/java/edu/illinois/cs/cogcomp/tokenizer/TokenizerStateMachine,CogCompNLP/edu/illinois/cs/cogcomp/tokenizer/TokenizerStateMachine
CogCompNLP,org.cogcomp.md.BIOReader,md/src/main/java/org/cogcomp/md/BIOReader,CogCompNLP/org/cogcomp/md/BIOReader
CogCompNLP,org.cogcomp.re.RelationFeatureExtractor,relation-extraction/src/main/java/org/cogcomp/re/RelationFeatureExtractor,CogCompNLP/org/cogcomp/re/RelationFeatureExtractor
CogCompNLP,org.cogcomp.md.MentionAnnotator,md/src/main/java/org/cogcomp/md/MentionAnnotator,CogCompNLP/org/cogcomp/md/MentionAnnotator
