project,class,src,llm_directory
CoreNLP,edu.stanford.nlp.pipeline.MorphaAnnotator,src/edu/stanford/nlp/pipeline/MorphaAnnotator,CoreNLP/edu/stanford/nlp/pipeline/MorphaAnnotator
CoreNLP,edu.stanford.nlp.pipeline.NERCombinerAnnotator,src/edu/stanford/nlp/pipeline/NERCombinerAnnotator,CoreNLP/edu/stanford/nlp/pipeline/NERCombinerAnnotator
CoreNLP,edu.stanford.nlp.pipeline.TokensRegexNERAnnotator,src/edu/stanford/nlp/pipeline/TokensRegexNERAnnotator,CoreNLP/edu/stanford/nlp/pipeline/TokensRegexNERAnnotator
CoreNLP,edu.stanford.nlp.pipeline.QuoteAnnotator,src/edu/stanford/nlp/pipeline/QuoteAnnotator,CoreNLP/edu/stanford/nlp/pipeline/QuoteAnnotator
CoreNLP,edu.stanford.nlp.pipeline.QuoteAttributionAnnotator,src/edu/stanford/nlp/pipeline/QuoteAttributionAnnotator,CoreNLP/edu/stanford/nlp/pipeline/QuoteAttributionAnnotator
CoreNLP,edu.stanford.nlp.pipeline.StanfordCoreNLP,src/edu/stanford/nlp/pipeline/StanfordCoreNLP,CoreNLP/edu/stanford/nlp/pipeline/StanfordCoreNLP
CoreNLP,edu.stanford.nlp.pipeline.EntityMentionsAnnotator,src/edu/stanford/nlp/pipeline/EntityMentionsAnnotator,CoreNLP/edu/stanford/nlp/pipeline/EntityMentionsAnnotator
CoreNLP,edu.stanford.nlp.pipeline.TokenizerAnnotator,src/edu/stanford/nlp/pipeline/TokenizerAnnotator,CoreNLP/edu/stanford/nlp/pipeline/TokenizerAnnotator
CoreNLP,edu.stanford.nlp.pipeline.POSTaggerAnnotator,src/edu/stanford/nlp/pipeline/POSTaggerAnnotator,CoreNLP/edu/stanford/nlp/pipeline/POSTaggerAnnotator
CoreNLP,edu.stanford.nlp.pipeline.CoreDocument,src/edu/stanford/nlp/pipeline/CoreDocument,CoreNLP/edu/stanford/nlp/pipeline/CoreDocument
CoreNLP,edu.stanford.nlp.pipeline.CoreSentence,src/edu/stanford/nlp/pipeline/CoreSentence,CoreNLP/edu/stanford/nlp/pipeline/CoreSentence
CoreNLP,edu.stanford.nlp.pipeline.SentimentAnnotator,src/edu/stanford/nlp/pipeline/SentimentAnnotator,CoreNLP/edu/stanford/nlp/pipeline/SentimentAnnotator
CoreNLP,edu.stanford.nlp.pipeline.KBPAnnotator,src/edu/stanford/nlp/pipeline/KBPAnnotator,CoreNLP/edu/stanford/nlp/pipeline/KBPAnnotator
CoreNLP,edu.stanford.nlp.pipeline.WikidictAnnotator,src/edu/stanford/nlp/pipeline/WikidictAnnotator,CoreNLP/edu/stanford/nlp/pipeline/WikidictAnnotator
CoreNLP,edu.stanford.nlp.pipeline.GenderAnnotator,src/edu/stanford/nlp/pipeline/GenderAnnotator,CoreNLP/edu/stanford/nlp/pipeline/GenderAnnotator
CoreNLP,edu.stanford.nlp.pipeline.ArabicSegmenterAnnotator,src/edu/stanford/nlp/pipeline/ArabicSegmenterAnnotator,CoreNLP/edu/stanford/nlp/pipeline/ArabicSegmenterAnnotator
CoreNLP,edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer,src/edu/stanford/nlp/pipeline/ProtobufAnnotationSerializer,CoreNLP/edu/stanford/nlp/pipeline/ProtobufAnnotationSerializer
CoreNLP,edu.stanford.nlp.pipeline.CleanXmlAnnotator,src/edu/stanford/nlp/pipeline/CleanXmlAnnotator,CoreNLP/edu/stanford/nlp/pipeline/CleanXmlAnnotator
CoreNLP,edu.stanford.nlp.process.Morphology,src/edu/stanford/nlp/process/Morphology,CoreNLP/edu/stanford/nlp/process/Morphology
CoreNLP,edu.stanford.nlp.process.Stemmer,src/edu/stanford/nlp/process/Stemmer,CoreNLP/edu/stanford/nlp/process/Stemmer
CoreNLP,edu.stanford.nlp.process.WordToSentenceProcessor,src/edu/stanford/nlp/process/WordToSentenceProcessor,CoreNLP/edu/stanford/nlp/process/WordToSentenceProcessor
CoreNLP,edu.stanford.nlp.parser.lexparser.ChineseTreebankParserParams,src/edu/stanford/nlp/parser/lexparser/ChineseTreebankParserParams,CoreNLP/edu/stanford/nlp/parser/ChineseTreebankParserParams
CoreNLP,edu.stanford.nlp.parser.lexparser.LexicalizedParser,src/edu/stanford/nlp/parser/lexparser/LexicalizedParser,CoreNLP/edu/stanford/nlp/parser/LexicalizedParser
CoreNLP,edu.stanford.nlp.ling.CoreLabel,src/edu/stanford/nlp/ling/CoreLabel,CoreNLP/edu/stanford/nlp/ling/CoreLabel
CoreNLP,edu.stanford.nlp.coref.data.Mention,src/edu/stanford/nlp/coref/data/Mention,CoreNLP/edu/stanford/nlp/coref/Mention
CoreNLP,edu.stanford.nlp.dcoref.Mention,src/edu/stanford/nlp/dcoref/Mention,CoreNLP/edu/stanford/nlp/dcoref/Mention
CoreNLP,edu.stanford.nlp.ie.NERFeatureFactory,src/edu/stanford/nlp/ie/NERFeatureFactory,CoreNLP/edu/stanford/nlp/ie/NERFeatureFactory
